epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5179687738418579,0.0009000000427477062,1.154396891593933,0.2524999976158142,6.491751194000244
1,0.6310937404632568,0.0009000000427477062,0.8164913654327393,0.3100000023841858,6.207429885864258
2,0.7017187476158142,0.0009000000427477062,0.7041309475898743,0.3062500059604645,5.737384796142578
3,0.7376562356948853,0.0009000000427477062,0.6380641460418701,0.28999999165534973,5.685213565826416
4,0.7524999976158142,0.0009000000427477062,0.5840510725975037,0.5425000190734863,2.166903018951416
5,0.7856249809265137,0.0009000000427477062,0.5290233492851257,0.6237499713897705,1.6861435174942017
6,0.8082812428474426,0.0009000000427477062,0.4810746908187866,0.6512500047683716,1.4392319917678833
7,0.7998437285423279,0.0009000000427477062,0.4811519384384155,0.5687500238418579,1.9773691892623901
8,0.8354687690734863,0.0009000000427477062,0.41728511452674866,0.6487500071525574,1.7039284706115723
9,0.8357812762260437,0.0009000000427477062,0.4250614047050476,0.5249999761581421,3.072202205657959
10,0.8659374713897705,0.0008100000559352338,0.35154494643211365,0.5887500047683716,1.7130450010299683
11,0.8776562213897705,0.0008100000559352338,0.32848870754241943,0.5774999856948853,1.9598643779754639
12,0.9234374761581421,0.00016200001118704677,0.22090452909469604,0.71875,1.0671387910842896
13,0.9396874904632568,0.00016200001118704677,0.1755942702293396,0.7774999737739563,0.7699055671691895
14,0.9465625286102295,0.00016200001118704677,0.1620044857263565,0.8112499713897705,0.7087118625640869
15,0.9574999809265137,0.00016200001118704677,0.13456974923610687,0.8687499761581421,0.4182659983634949
16,0.9574999809265137,0.00016200001118704677,0.13106831908226013,0.8224999904632568,0.5423848032951355
17,0.9596874713897705,0.00016200001118704677,0.13521914184093475,0.8700000047683716,0.39453479647636414
18,0.9603124856948853,0.00016200001118704677,0.11734580248594284,0.8949999809265137,0.2795814871788025
19,0.9689062237739563,0.00016200001118704677,0.10647217929363251,0.8887500166893005,0.3628646731376648
20,0.9700000286102295,0.000145800004247576,0.09734708070755005,0.9075000286102295,0.2584480941295624
21,0.9793750047683716,0.000145800004247576,0.07263776659965515,0.8949999809265137,0.3611636757850647
22,0.9740625023841858,0.000145800004247576,0.08491908013820648,0.9024999737739563,0.31351739168167114
23,0.9759374856948853,0.000145800004247576,0.08108734339475632,0.8837500214576721,0.37092459201812744
24,0.977343738079071,0.000145800004247576,0.07710777223110199,0.9125000238418579,0.24318724870681763
25,0.9792187213897705,0.000145800004247576,0.06667020916938782,0.9300000071525574,0.2205268144607544
26,0.9745312333106995,0.000145800004247576,0.08095922321081161,0.9225000143051147,0.28093844652175903
