Model Name,epoch,train_loss,train_accuracy,val_loss,val_accuracy,training_time_minutes,test_loss,test_accuracy,Optimizer
VGG16,1,1.538780927658081,0.2874999940395355,21.673141479492188,0.25,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,2,1.370774507522583,0.34171876311302185,8.390050888061523,0.25,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,3,1.279128909111023,0.40421876311302185,2.7912521362304688,0.2487500011920929,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,4,1.1684999465942383,0.46171873807907104,3.888798475265503,0.25,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,5,1.034031629562378,0.5218750238418579,2.077401638031006,0.3824999928474426,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,6,0.9084908366203308,0.5854687690734863,1.5268800258636475,0.36375001072883606,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,7,0.8287003040313721,0.6204687356948853,8.969234466552734,0.25,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,8,0.7933382391929626,0.6321874856948853,0.7896300554275513,0.5975000262260437,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,9,0.7593456506729126,0.6498437523841858,0.7675144076347351,0.6212499737739563,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,10,0.7308079600334167,0.6534374952316284,7.365203857421875,0.25,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,11,0.7039369344711304,0.6682812571525574,0.7779945135116577,0.6412500143051147,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,12,0.6670456528663635,0.6935937404632568,0.7575016021728516,0.6399999856948853,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,13,0.6620292067527771,0.6971874833106995,0.7045239806175232,0.6362500190734863,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,14,0.6411119103431702,0.7042187452316284,0.6016572117805481,0.7262499928474426,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,15,0.6266529560089111,0.7176562547683716,1.3844168186187744,0.5024999976158142,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
VGG16,16,0.6050472259521484,0.7293750047683716,0.6582077145576477,0.6662499904632568,41.95903983910878,0.207315593957901,0.9162499904632568,Adam
