Model Name,Number of Layers,Trainable Parameters,Non-Trainable Parameters,Activation Functions,Optimizer,Loss Function,Final Epoch,Training Time (minutes),Test Accuracy,Test Loss,Overall Accuracy,Cohen's Kappa,Log Loss,Brier Score,Precision (Macro),Recall (Macro),F1-score (Macro),Precision (Weighted),Recall (Weighted),F1-score (Weighted),"ROC AUC (OvR, Macro)",Precision (Class 0),Recall (Class 0),F1-score (Class 0),Support (Class 0),True Positives (Class 0),Precision (Class 1),Recall (Class 1),F1-score (Class 1),Support (Class 1),True Positives (Class 1),Precision (Class 2),Recall (Class 2),F1-score (Class 2),Support (Class 2),True Positives (Class 2),Precision (Class 3),Recall (Class 3),F1-score (Class 3),Support (Class 3),True Positives (Class 3),Model Size (MB),Inference Time (ms),Avg Misclassification Rate (MildDemented),Avg Misclassification Rate (ModerateDemented),Avg Misclassification Rate (NonDemented),Avg Misclassification Rate (VeryMildDemented),Model
InceptionV3,319,22328564,34592,Softmax,Adam,Categorical Crossentropy,31,20.372949743270876,0.949999988079071,0.1585300415754318,0.95,0.9333333333333332,0.1585300556517911,0.0203124451653661,0.9502311402761932,0.95,0.950095344787396,0.9502311402761932,0.95,0.950095344787396,0.9918291666666664,0.98989898989899,0.98,0.9849246231155778,200,196,1.0,1.0,1.0,200,200,0.9014778325123152,0.915,0.9081885856079404,200,183,0.9095477386934674,0.905,0.9072681704260652,200,181,256.3916301727295,162.98266172409058,0.02,0.0,0.085,0.095,InceptionV3
MobileNetV2,162,3570196,34272,Softmax,Adam,Categorical Crossentropy,69,45.14993147452672,0.9762499928474426,0.1025094911456108,0.97625,0.9683333333333334,0.102509456127109,0.0108270474213887,0.9765486209444992,0.97625,0.9762298651883414,0.9765486209444992,0.97625,0.9762298651883414,0.9956125,0.9949748743718592,0.99,0.9924812030075189,200,198,1.0,1.0,1.0,200,200,0.9423076923076924,0.98,0.9607843137254902,200,196,0.9689119170984456,0.935,0.9516539440203564,200,187,41.244032859802246,103.93661499023438,0.01,0.0,0.02,0.065,MobileNetV2
ResNet50,183,25686356,53280,Softmax,Adam,Categorical Crossentropy,58,34.58797279993693,0.912500023841858,0.2212594002485275,0.9125,0.8833333333333333,0.2212593741389401,0.0318556561401426,0.9140954872900772,0.9125,0.9128544035802812,0.9140954872900768,0.9125,0.9128544035802812,0.9870979166666668,0.9948453608247424,0.965,0.9796954314720812,200,193,1.0,1.0,1.0,200,200,0.8186046511627907,0.88,0.8481927710843372,200,176,0.8429319371727748,0.805,0.823529411764706,200,161,294.3020715713501,114.0189790725708,0.035,0.0,0.12,0.195,ResNet50
VGG16,27,15240468,160,Softmax,Adam,Categorical Crossentropy,69,41.95903983910878,0.918749988079071,0.2027057856321334,0.91875,0.8916666666666666,0.2027057973866808,0.0302427501920232,0.9198953080057392,0.91875,0.9192037687228708,0.919895308005739,0.91875,0.9192037687228712,0.9868145833333332,0.9690721649484536,0.94,0.9543147208121826,200,188,1.0,1.0,1.0,200,200,0.8844221105527639,0.88,0.8822055137844611,200,176,0.8260869565217391,0.855,0.8402948402948403,200,171,174.52642631530762,96.74993753433228,0.06,0.0,0.12,0.145,VGG16
Xception,140,22960124,54688,Softmax,Adam,Categorical Crossentropy,44,26.922706643740337,0.9674999713897704,0.0869934782385826,0.9675,0.9566666666666668,0.086993468459008,0.0120606556743797,0.9676223952014928,0.9675,0.9674995569732412,0.967622395201493,0.9675,0.9674995569732412,0.9979375,0.984924623115578,0.98,0.9824561403508772,200,196,1.0,1.0,1.0,200,200,0.9365853658536586,0.96,0.9481481481481482,200,192,0.9489795918367347,0.93,0.9393939393939392,200,186,262.9140567779541,102.71233081817628,0.02,0.0,0.04,0.07,Xception
