Model Name,Number of Layers,Trainable Parameters,Non-Trainable Parameters,Activation Functions,Optimizer,Loss Function,Final Epoch,Training Time (minutes),Test Accuracy,Test Loss,Overall Accuracy,Cohen's Kappa,Log Loss,Brier Score,Precision (Macro),Recall (Macro),F1-score (Macro),Precision (Weighted),Recall (Weighted),F1-score (Weighted),"ROC AUC (OvR, Macro)",Precision (Class 0),Recall (Class 0),F1-score (Class 0),Support (Class 0),True Positives (Class 0),Precision (Class 1),Recall (Class 1),F1-score (Class 1),Support (Class 1),True Positives (Class 1),Precision (Class 2),Recall (Class 2),F1-score (Class 2),Support (Class 2),True Positives (Class 2),Precision (Class 3),Recall (Class 3),F1-score (Class 3),Support (Class 3),True Positives (Class 3),Model Size (MB),Inference Time (ms),Avg Misclassification Rate (MildDemented),Avg Misclassification Rate (ModerateDemented),Avg Misclassification Rate (NonDemented),Avg Misclassification Rate (VeryMildDemented),Model
InceptionV3,319,22328564,34592,Softmax,Adam,Categorical Crossentropy,57,29.67686356,0.972500026,0.094199799,0.9725,0.963333333,0.094199802,0.010955562,0.972648515,0.9725,0.972562127,0.972648515,0.9725,0.972562127,0.996510417,1.0,0.99,0.994974874,200,198,1.0,1.0,1.0,200,200,0.95,0.95,0.95,200,190,0.940594059,0.95,0.945273632,200,190,256.3916311,156.0841942,0.01,0.0,0.05,0.05,InceptionV3
MobileNetV2,162,3570196,34272,Softmax,Adam,Categorical Crossentropy,58,29.32730870644252,0.9787499904632568,0.1023382842540741,0.97875,0.9716666666666668,0.1023382598130419,0.0097914090513965,0.9790639474077394,0.97875,0.97877888887774,0.9790639474077396,0.97875,0.9787788888777402,0.99498125,1.0,0.995,0.9974937343358397,200,199,1.0,1.0,1.0,200,200,0.9420289855072465,0.975,0.9582309582309584,200,195,0.9742268041237112,0.945,0.9593908629441624,200,189,41.244032859802246,104.28058385849,0.005,0.0,0.025,0.055,MobileNetV2
ResNet50,183,25686356,53280,Softmax,Adam,Categorical Crossentropy,57,31.318362601598103,0.9200000166893004,0.2449474334716797,0.92,0.8933333333333333,0.2449474513161572,0.0321016036191782,0.9211998352293248,0.92,0.9202593491805648,0.9211998352293248,0.92,0.9202593491805648,0.98568125,0.9897435897435898,0.965,0.9772151898734178,200,193,1.0,1.0,1.0,200,200,0.8356807511737089,0.89,0.8619854721549637,200,178,0.859375,0.825,0.8418367346938775,200,165,294.3020734786988,124.19903993606567,0.035,0.0,0.11,0.175,ResNet50
VGG16,27,15240468,160,Softmax,Adam,Categorical Crossentropy,55,29.70460405747096,0.8475000262260437,0.3726401627063751,0.8475,0.7966666666666666,0.3726401345465791,0.0554479290742763,0.8454788745737022,0.8475000000000001,0.8462521092561872,0.8454788745737022,0.8475,0.8462521092561873,0.9631541666666666,0.8942307692307693,0.93,0.911764705882353,200,186,1.0,1.0,1.0,200,200,0.7733990147783252,0.785,0.7791563275434242,200,157,0.7142857142857143,0.675,0.6940874035989718,200,135,174.52642345428467,93.1701922416687,0.07,0.0,0.215,0.325,VGG16
Xception,140,22960124,54688,Softmax,Adam,Categorical Crossentropy,48,27.3247478723526,0.9800000190734864,0.0891637355089187,0.98,0.9733333333333334,0.0891637388785692,0.009212119952334,0.9799972345139658,0.98,0.9799773643200668,0.979997234513966,0.98,0.9799773643200668,0.9976354166666668,0.9900497512437813,0.995,0.9925187032418954,200,199,1.0,1.0,1.0,200,200,0.9695431472081218,0.955,0.9622166246851384,200,191,0.9603960396039604,0.97,0.9651741293532338,200,194,262.9140577316284,106.99262619018556,0.005,0.0,0.045,0.03,Xception
