Model Name,epoch,train_loss,train_accuracy,val_loss,val_accuracy,training_time_minutes,test_loss,test_accuracy,Optimizer
EfficientNetB0,1,1.0768475532531738,0.534375011920929,1.5957725048065186,0.25,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,2,0.7530173659324646,0.6701562404632568,1.503350853919983,0.2512499988079071,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,3,0.6400631070137024,0.7220312356948853,1.6610995531082153,0.30250000953674316,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,4,0.5276073217391968,0.7784374952316284,1.578741431236267,0.4699999988079071,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,5,0.48642265796661377,0.8059375286102295,0.4560197591781616,0.8012499809265137,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,6,0.43889427185058594,0.8248437643051147,0.4388127624988556,0.8349999785423279,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,7,0.3689393103122711,0.8590624928474426,0.8869484066963196,0.7049999833106995,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,8,0.3275883197784424,0.8782812356948853,0.7538713812828064,0.7425000071525574,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,9,0.29966506361961365,0.887499988079071,0.656249463558197,0.7574999928474426,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,10,0.28455623984336853,0.8951562643051147,0.2331998199224472,0.918749988079071,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,11,0.23470760881900787,0.91796875,0.3113885819911957,0.8824999928474426,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,12,0.19954586029052734,0.9317187666893005,0.5047559142112732,0.8387500047683716,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,13,0.19030702114105225,0.936718761920929,0.3030011057853699,0.9049999713897705,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,14,0.1872362643480301,0.9399999976158142,0.2611139416694641,0.9049999713897705,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,15,0.16868261992931366,0.9435937404632568,0.19253242015838623,0.9300000071525574,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,16,0.14092348515987396,0.9528124928474426,0.2841421961784363,0.893750011920929,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,17,0.13278894126415253,0.9574999809265137,0.28984588384628296,0.8962500095367432,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,18,0.14741268754005432,0.953125,0.2215808629989624,0.9200000166893005,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,19,0.1597982496023178,0.9520312547683716,0.3327094614505768,0.8862500190734863,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,20,0.1407802253961563,0.953906238079071,0.2381943166255951,0.9300000071525574,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,21,0.0711764469742775,0.9792187213897705,0.07622111588716507,0.9750000238418579,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,22,0.05482688918709755,0.9831249713897705,0.08111116290092468,0.9787499904632568,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,23,0.042341724038124084,0.9898437261581421,0.0773567333817482,0.9787499904632568,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,24,0.038922324776649475,0.9903125166893005,0.10008444637060165,0.9725000262260437,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,25,0.03514592722058296,0.9921875,0.07834968715906143,0.9775000214576721,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,26,0.03195083513855934,0.9925000071525574,0.09334414452314377,0.9712499976158142,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,27,0.03443635627627373,0.9923437237739563,0.07743248343467712,0.9787499904632568,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,28,0.031210994347929955,0.9921875,0.07438142597675323,0.9775000214576721,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,29,0.026099666953086853,0.9943749904632568,0.0740133747458458,0.9837499856948853,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,30,0.02645598165690899,0.9934375286102295,0.07396411150693893,0.9800000190734863,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,31,0.022002289071679115,0.9957812428474426,0.07350972294807434,0.9800000190734863,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,32,0.026629600673913956,0.9935937523841858,0.06756318360567093,0.9825000166893005,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,33,0.019897598773241043,0.99609375,0.06706361472606659,0.9837499856948853,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,34,0.021397599950432777,0.9954687356948853,0.06832575052976608,0.9825000166893005,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
EfficientNetB0,35,0.01638297364115715,0.9970312714576721,0.0658208355307579,0.9837499856948853,27.29861433506012,0.08348124474287033,0.9750000238418579,Adam
