Model Name,epoch,train_loss,train_accuracy,val_loss,val_accuracy,training_time_minutes,test_loss,test_accuracy,Optimizer
EfficientNetB0,1,1.0768475532531738,0.534375011920929,1.5957725048065186,0.25,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,2,0.7530173659324646,0.6701562404632568,1.503350853919983,0.2512499988079071,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,3,0.6400631070137024,0.7220312356948853,1.661099553108215,0.3025000095367431,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,4,0.5276073217391968,0.7784374952316284,1.578741431236267,0.4699999988079071,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,5,0.4864226579666137,0.8059375286102295,0.4560197591781616,0.8012499809265137,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,6,0.4388942718505859,0.8248437643051147,0.4388127624988556,0.8349999785423279,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,7,0.3689393103122711,0.8590624928474426,0.8869484066963196,0.7049999833106995,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,8,0.3275883197784424,0.8782812356948853,0.7538713812828064,0.7425000071525574,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,9,0.2996650636196136,0.887499988079071,0.656249463558197,0.7574999928474426,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,10,0.2845562398433685,0.8951562643051147,0.2331998199224472,0.918749988079071,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,11,0.2347076088190078,0.91796875,0.3113885819911957,0.8824999928474426,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,12,0.1995458602905273,0.9317187666893004,0.5047559142112732,0.8387500047683716,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,13,0.1903070211410522,0.936718761920929,0.3030011057853699,0.9049999713897704,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,14,0.1872362643480301,0.9399999976158142,0.2611139416694641,0.9049999713897704,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,15,0.1686826199293136,0.9435937404632568,0.1925324201583862,0.9300000071525574,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,16,0.1409234851598739,0.9528124928474426,0.2841421961784363,0.893750011920929,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,17,0.1327889412641525,0.9574999809265136,0.2898458838462829,0.8962500095367432,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,18,0.1474126875400543,0.953125,0.2215808629989624,0.9200000166893004,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,19,0.1597982496023178,0.9520312547683716,0.3327094614505768,0.8862500190734863,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,20,0.1407802253961563,0.953906238079071,0.2381943166255951,0.9300000071525574,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,21,0.0711764469742775,0.9792187213897704,0.076221115887165,0.975000023841858,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,22,0.0548268891870975,0.9831249713897704,0.0811111629009246,0.9787499904632568,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,23,0.042341724038124,0.989843726158142,0.0773567333817482,0.9787499904632568,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,24,0.0389223247766494,0.9903125166893004,0.1000844463706016,0.9725000262260436,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,25,0.0351459272205829,0.9921875,0.0783496871590614,0.977500021457672,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,26,0.0319508351385593,0.9925000071525574,0.0933441445231437,0.9712499976158142,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,27,0.0344363562762737,0.9923437237739564,0.0774324834346771,0.9787499904632568,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,28,0.0312109943479299,0.9921875,0.0743814259767532,0.977500021457672,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,29,0.0260996669530868,0.9943749904632568,0.0740133747458458,0.9837499856948853,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,30,0.0264559816569089,0.9934375286102296,0.0739641115069389,0.9800000190734864,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,31,0.0220022890716791,0.9957812428474426,0.0735097229480743,0.9800000190734864,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,32,0.0266296006739139,0.9935937523841858,0.0675631836056709,0.9825000166893004,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,33,0.019897598773241,0.99609375,0.0670636147260665,0.9837499856948853,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,34,0.0213975999504327,0.9954687356948853,0.068325750529766,0.9825000166893004,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,35,0.0163829736411571,0.997031271457672,0.0658208355307579,0.9837499856948853,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
EfficientNetB0,36,0.0192881915718317,0.9962499737739564,0.0677532702684402,0.9850000143051147,27.29861433506012,0.0834812447428703,0.975000023841858,Adam
